,id,major,gender,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,academic,campus,internship,AtRisk_academic,AtRisk_campus,AtRisk_internship,At_Risk,graduate_program,goverment,industry,placement,annual
47,47,Others,M,84.24242424242425,91.90751445086705,80.23255813953489,90.5,89.89169675090253,87.55760368663594,89.47368421052632,87.01298701298701,73.83177570093459,63.559322033898304,83.82095662287108,13,19,0,0,0,0,0.6928935970043841,0.6433282471145141,0.787718664083502,2.1239405082024003,242804.13478631145
48,48,Liberal Arts,M,81.21212121212122,89.01734104046243,83.13953488372093,88.5,89.16967509025271,80.64516129032258,84.21052631578948,79.87012987012987,85.98130841121495,71.1864406779661,83.29322387919802,19,6,0,0,0,0,0.6492461046685828,0.7625350587137111,0.5058819491771641,1.9176631125594579,156088.0325114726
49,49,Computer Science,F,76.96969696969697,80.92485549132948,70.34883720930233,65.5,67.50902527075812,75.57603686635944,84.21052631578948,84.41558441558442,74.76635514018692,80.9322033898305,76.11531210688376,10,6,0,0,0,0,0.3798328871381252,0.4048737337751418,0.3670765821504048,1.1517832030636717,128844.33030686498
50,50,Electric Engineering,M,68.48484848484848,75.14450867052022,68.02325581395348,53.5,51.26353790613718,63.133640552995395,68.42105263157895,77.92207792207792,70.09345794392523,73.72881355932203,66.9715193485359,4,6,1,1,0,2,0.12566587821812245,0.15039141286284893,0.26294499972236224,0.5390022908033336,51296.762601689596
51,51,Mathmatics,F,77.57575757575758,72.25433526011561,69.18604651162791,58.0,60.64981949458484,69.5852534562212,70.39473684210526,67.53246753246754,78.97196261682242,83.05084745762711,70.72012267473295,8,7,1,0,0,1,0.2651399331709275,0.31907492222406114,0.35383255500862154,0.9380474104036102,105530.32557168926
52,52,Others,M,76.96969696969697,89.01734104046243,77.90697674418605,84.5,83.75451263537906,79.26267281105991,90.13157894736842,88.96103896103897,73.83177570093459,64.40677966101696,80.87423734711433,15,9,0,0,0,0,0.5732462244116701,0.6294158404796368,0.5293744965788558,1.7320365614701627,157297.3476541511
53,53,Computer Science,M,83.03030303030303,83.81502890173411,70.93023255813954,65.0,68.95306859205776,84.33179723502305,92.10526315789474,87.01298701298701,71.96261682242991,86.44067796610169,79.35819752766709,5,5,0,0,0,0,0.34366572799462297,0.22511746002515873,0.28148684958385317,0.8502700376036348,94016.80947790257
54,54,Computer Science,F,81.81818181818181,81.5028901734104,71.51162790697674,63.5,69.67509025270758,86.17511520737327,86.84210526315789,76.62337662337663,77.10280373831776,89.83050847457628,78.45816994580784,8,14,0,0,0,0,0.4687857504397681,0.4012283088921746,0.5683928313841654,1.438406890716108,152124.6340095715
55,55,Information Science,M,78.18181818181819,84.39306358381504,79.06976744186046,87.0,85.5595667870036,73.73271889400921,73.6842105263158,74.67532467532467,90.65420560747664,69.0677966101695,79.60184723077931,17,12,0,0,0,0,0.6146107727217072,0.7213454249074375,0.6357242262684806,1.971680423897625,169609.8585052318
56,56,Mathmatics,F,80.0,79.76878612716763,66.86046511627907,60.0,63.537906137184116,82.02764976958525,77.63157894736842,71.42857142857143,78.50467289719626,86.01694915254237,74.57765795758944,4,11,1,1,0,2,0.3066905602426262,0.2167239805879809,0.42173286184973496,0.9451474026803421,112060.89351450976
57,57,Mathmatics,M,79.39393939393939,81.5028901734104,75.0,67.5,70.3971119133574,81.5668202764977,81.57894736842105,75.32467532467533,83.17757009345794,86.86440677966101,78.23063613234203,8,10,0,0,0,0,0.42416415720578954,0.36972021172785996,0.45694452545516206,1.2508288943888115,147221.41774657328
58,58,Electric Engineering,F,80.60606060606061,87.28323699421965,87.79069767441861,67.0,64.25992779783394,81.5668202764977,76.3157894736842,84.41558441558442,84.57943925233644,84.7457627118644,79.85633192024999,3,19,0,1,0,1,0.4621561575258864,0.2606885634690969,0.6441602255818837,1.367004946576867,143322.18334342638
59,59,Mathmatics,M,87.87878787878788,83.81502890173411,69.18604651162791,65.0,68.95306859205776,85.25345622119816,83.55263157894737,78.57142857142857,78.03738317757009,84.7457627118644,78.49935941452162,7,12,0,0,0,0,0.432833955766941,0.3492397777756957,0.4997797368019653,1.2818534703446018,116294.87031492096
60,60,Others,M,81.21212121212122,87.28323699421965,74.4186046511628,87.0,86.64259927797833,81.5668202764977,81.57894736842105,81.81818181818181,79.4392523364486,64.83050847457628,80.57902724096074,17,7,0,0,0,0,0.5804150648526774,0.686603586533624,0.4997699857020743,1.7667886370883756,134972.81063953406
61,61,Computer Science,M,81.21212121212122,78.03468208092485,65.69767441860465,63.5,70.03610108303249,79.72350230414746,89.47368421052632,76.62337662337663,73.3644859813084,85.59322033898304,76.32588482530251,11,5,0,0,0,0,0.3895444100664471,0.4347858727946872,0.35322716279426697,1.1775574456554012,104282.20340829642
62,62,Electric Engineering,M,86.06060606060606,91.32947976878613,84.30232558139535,67.0,64.98194945848375,81.5668202764977,82.23684210526316,90.9090909090909,89.7196261682243,91.10169491525424,82.92084352436015,1,16,0,1,0,1,0.4514482085202636,0.17535484567475848,0.5425779553864727,1.1693810095814947,161085.19535983473
63,63,Computer Science,M,96.96969696969697,91.90751445086705,83.72093023255815,70.5,74.36823104693141,94.93087557603687,91.44736842105263,85.71428571428571,85.51401869158879,94.91525423728814,86.99881753403058,4,17,0,1,0,1,0.5802648519601104,0.3084458008098355,0.6210405516334472,1.509751204403393,181531.64492612096
64,64,Electric Engineering,F,75.75757575757575,83.23699421965318,75.5813953488372,61.0,61.371841155234655,75.11520737327189,83.55263157894737,86.36363636363636,72.89719626168224,81.35593220338983,75.62324102622284,7,3,0,0,0,0,0.29199317421734977,0.2696452895327313,0.2427318141908602,0.8043702779409413,70517.58475199895
65,65,Electric Engineering,M,75.75757575757575,86.70520231213872,81.97674418604652,65.5,61.371841155234655,72.35023041474655,81.57894736842105,92.20779220779221,82.24299065420561,84.7457627118644,78.44370867680254,11,3,0,0,0,0,0.4054079136591572,0.42724514854471274,0.30343955967870745,1.1360926218825773,125048.92150088007
66,66,Information Science,M,87.27272727272727,95.95375722543352,95.93023255813954,94.0,89.53068592057761,83.41013824884793,78.28947368421052,85.06493506493507,98.13084112149532,74.57627118644068,88.21590622828074,19,20,0,0,0,0,0.8760077187226467,0.8880002134273961,0.9069279737785721,2.670935905928615,262731.8199674195
67,67,Computer Science,F,82.42424242424242,80.34682080924856,68.6046511627907,62.0,63.17689530685921,80.18433179723502,82.89473684210526,80.51948051948052,71.96261682242991,80.9322033898305,75.30459790742222,2,12,0,1,0,1,0.296724695724178,0.15345754153051686,0.4247751211266129,0.8749573583813077,133963.97007284168
68,68,Mathmatics,F,90.9090909090909,87.28323699421965,87.20930232558139,69.5,71.11913357400722,87.55760368663594,81.57894736842105,81.16883116883118,92.05607476635514,92.37288135593221,84.07551021490747,5,16,0,0,0,0,0.5363672277215756,0.32682375818271264,0.5988542833300573,1.4620452692343457,140465.23346271605
69,69,Computer Science,M,78.78787878787878,75.14450867052022,56.97674418604651,55.5,60.288808664259925,75.57603686635944,78.28947368421052,73.37662337662337,66.82242990654206,78.38983050847457,69.91523346509155,7,3,1,0,0,1,0.19435018415119543,0.24863708396584425,0.22754718802238352,0.6705344561394232,83722.20545442849
70,70,Electric Engineering,M,75.75757575757575,86.70520231213872,79.65116279069767,69.0,62.81588447653429,73.27188940092167,78.94736842105263,91.55844155844156,82.24299065420561,81.35593220338983,78.13064475749579,8,10,0,0,0,0,0.4224536729928224,0.369352195509383,0.4566785251685733,1.2484843936707786,143476.63847999327
71,71,Mathmatics,F,80.0,82.08092485549133,70.93023255813954,65.0,68.95306859205776,87.09677419354838,84.21052631578948,76.62337662337663,78.03738317757009,85.59322033898304,77.85255066549563,3,9,0,1,0,1,0.3260555201255297,0.17663702837862577,0.3617221691216061,0.8644147176257615,108108.87782964206
72,72,Electric Engineering,F,83.63636363636364,94.21965317919076,90.69767441860465,72.5,68.59205776173285,81.10599078341014,81.57894736842105,96.1038961038961,87.38317757009345,85.16949152542372,84.09872523471364,7,10,0,0,0,0,0.508253821929801,0.3545127978287386,0.4592538441376042,1.3220204638961437,158805.76630988688
73,73,Liberal Arts,M,75.75757575757575,85.54913294797687,70.34883720930233,88.0,90.61371841155234,84.33179723502305,85.52631578947368,78.57142857142857,76.16822429906541,63.13559322033898,79.80026234417369,15,11,0,0,0,0,0.5752391307236185,0.6407984291554087,0.581938980133345,1.7979765400123722,194003.9303525535
74,74,Mathmatics,M,72.72727272727273,74.56647398843931,65.11627906976744,57.5,61.371841155234655,71.42857142857143,78.94736842105263,71.42857142857143,71.49532710280374,78.38983050847457,70.2971535830188,10,6,1,0,0,1,0.2803056197221613,0.3834601198334906,0.351598928831334,1.015364668386986,120133.09249747772
75,75,Electric Engineering,F,85.45454545454545,87.86127167630057,81.97674418604652,66.0,64.25992779783394,81.5668202764977,78.28947368421052,83.76623376623377,86.44859813084112,88.55932203389831,80.41829370064079,5,11,0,0,0,0,0.4228940611328484,0.27502511779499705,0.4505714713687168,1.1484906502965622,136182.99912978528
76,76,Mathmatics,M,91.51515151515152,84.39306358381504,72.09302325581395,65.5,68.95306859205776,87.09677419354838,81.57894736842105,73.37662337662337,87.85046728971963,94.49152542372882,80.68486445988795,5,13,0,0,0,0,0.44781876897776224,0.29134155784399307,0.5067021180795358,1.2458624449012912,140333.06596547115
77,77,Computer Science,F,87.87878787878788,82.08092485549133,61.627906976744185,63.5,70.03610108303249,88.94009216589862,92.10526315789474,81.81818181818181,70.5607476635514,85.16949152542372,78.37174971250062,6,13,0,0,0,0,0.4245416245441708,0.3196329824481947,0.5138498570552756,1.2580244640476412,143911.79799527087
78,78,Computer Science,M,89.0909090909091,89.59537572254335,78.48837209302326,72.5,74.72924187725631,93.54838709677419,92.76315789473684,92.20779220779221,77.10280373831776,85.59322033898304,84.56192600603362,3,12,0,1,0,1,0.4713752211076427,0.22433374536028827,0.46270292606032326,1.1584118925282543,124929.46895846855
79,79,Computer Science,F,76.96969696969697,76.30057803468208,62.7906976744186,61.5,64.62093862815884,76.95852534562212,80.26315789473684,74.67532467532467,72.89719626168224,81.77966101694915,72.87557765012716,10,9,1,0,0,1,0.3549599563305606,0.4159529547933495,0.4415903957007175,1.2125033068246276,109527.94450535296
80,80,Mathmatics,M,81.21212121212122,80.92485549132948,67.44186046511628,60.0,63.537906137184116,76.49769585253456,85.52631578947368,77.92207792207792,77.10280373831776,88.13559322033899,75.83012298284942,6,9,0,0,0,0,0.34033442298586364,0.2796079134397742,0.3962455263706865,1.0161878627963243,143119.8201976653
81,81,Computer Science,M,81.81818181818181,74.56647398843931,59.883720930232556,57.5,64.25992779783394,77.41935483870968,83.55263157894737,74.02597402597402,72.42990654205607,85.59322033898304,73.10493918593579,10,0,1,0,1,2,0.26724250058822563,0.3477881221580169,0.19280377113735606,0.8078343938835986,54074.60938240196
82,82,Electric Engineering,M,79.39393939393939,88.4393063583815,81.97674418604652,67.0,64.98194945848375,82.02764976958525,77.63157894736842,84.41558441558442,85.98130841121495,85.59322033898304,79.74412812795873,0,19,0,1,0,1,0.4113615707478341,0.1498612107430483,0.6039582527025246,1.1651810341934068,127253.49988749686
83,83,Others,M,66.06060606060606,82.65895953757226,69.18604651162791,80.5,77.25631768953069,70.96774193548387,76.97368421052632,84.41558441558442,70.09345794392523,58.05084745762712,73.61632457624839,13,8,1,0,0,1,0.4063242696756423,0.521425981821588,0.4557536860546568,1.383503937551887,132388.77393689755
84,84,Information Science,M,73.33333333333333,90.17341040462428,90.69767441860465,92.0,87.72563176895306,76.49769585253456,76.3157894736842,87.66233766233766,87.38317757009345,63.13559322033898,82.49246437045042,18,9,0,0,0,0,0.6498033228566069,0.7457860810325592,0.5735828411246051,1.9691722450137712,157618.27442819608
85,85,Information Science,M,88.48484848484848,97.10982658959537,96.51162790697674,99.0,95.66787003610108,87.55760368663594,85.52631578947368,88.96103896103897,98.13084112149532,75.84745762711864,91.27974302032843,21,18,0,0,0,0,0.9406374821565113,0.9575508631724641,0.8862593080080396,2.784447653337015,231233.42066890077
86,86,Liberal Arts,M,67.27272727272727,74.56647398843931,61.627906976744185,75.5,77.61732851985559,66.3594470046083,73.02631578947368,67.53246753246754,67.75700934579439,55.932203389830505,68.71918798199408,19,1,1,0,1,2,0.34902635879696525,0.6705572869430881,0.32855786151614186,1.3481415072561953,134455.50653947116
87,87,Information Science,M,74.54545454545455,89.59537572254335,88.37209302325581,90.5,86.64259927797833,74.19354838709677,71.05263157894737,81.16883116883118,93.92523364485982,66.94915254237289,81.694491989134,17,11,0,0,0,0,0.6402258866411965,0.7213796954175713,0.6135803941970887,1.9751859762558563,174872.52092338615
88,88,Mathmatics,F,79.39393939393939,75.14450867052022,65.11627906976744,56.5,58.12274368231047,73.27188940092167,78.94736842105263,73.37662337662337,76.16822429906541,87.28813559322033,72.33297119074209,6,7,1,0,0,1,0.2601463700382755,0.25140138570046655,0.3315207835999754,0.8430685393387174,94388.86871407235
89,89,Others,M,92.72727272727273,93.64161849710983,81.97674418604652,94.0,96.38989169675091,94.00921658986175,94.73684210526316,90.9090909090909,83.17757009345794,72.03389830508475,89.36021451099384,14,15,0,0,0,0,0.7632123050362798,0.6698495056666823,0.7049125253681097,2.1379743360710717,185972.3483781193
90,90,Liberal Arts,F,81.21212121212122,86.70520231213872,79.06976744186046,88.0,89.89169675090253,76.036866359447,86.84210526315789,81.81818181818181,81.77570093457943,66.94915254237289,81.8300794634762,20,4,0,0,0,0,0.6201441588777323,0.7786194500120853,0.4598693001331739,1.8586329090229916,145825.51123055723
